Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.4.13-192.168.4.16-28014-12261-17,192.168.4.16,12261,192.168.4.13,28014,17,05-04-2022 13:54,119996043,18817,5784,1.85E+07,87579,1032,4,982.3190732,186.0068895,800,4,15.14159751,16.70848939,154770.7452,205.0150937,4877.887927,19355.28794,1022372,13,1.20E+08,6376.669962,23707.60574,1033090,14,1.20E+08,20749.36676,39496.78257,1022372,20,0,0,0,0,150536,46272,156.8135043,48.20158945,4,1032,754.8939517,441.3309348,194772.994,0,0,0,0,0,0,0,0,0,754.9246372,982.3190732,15.14159751,0,0,0,0,0,0,18817,18484298,5784,87579,-1,-1,18817,0,0,0,0,0,0,0,0,0,IPCam_AlarmClock
192.168.4.16-47.112.162.49-15753-32100-17,192.168.4.16,15753,47.112.162.49,32100,17,05-04-2022 13:54,90311759,6,8,288,96,48,48,48,0,20,4,12,4.276179871,4.251938001,0.155018573,6947058.385,1.26E+07,2.99E+07,804,9.02E+07,1.80E+07,1.51E+07,3.01E+07,1000794,9.03E+07,1.29E+07,1.52E+07,3.01E+07,914,0,0,0,0,48,64,0.066436531,0.088582042,4,48,25.86666667,19.05580776,363.1238095,0,0,0,0,0,0,0,0,1,27.71428571,48,12,0,0,0,0,0,0,6,288,8,96,-1,-1,6,0,1145206.667,1734211.133,3147701,143192,2.89E+07,1742921.921,2.99E+07,2.69E+07,IPCam_AlarmClock
192.168.4.16-18.182.200.45-15753-32100-17,192.168.4.16,15753,18.182.200.45,32100,17,05-04-2022 13:54,90311625,6,7,288,84,48,48,48,0,20,4,12,4.618802154,4.11907105,0.143946031,7525968.75,1.29E+07,2.99E+07,314,9.02E+07,1.80E+07,1.51E+07,3.01E+07,1001196,9.03E+07,1.51E+07,1.54E+07,3.01E+07,129203,0,0,0,0,48,56,0.06643663,0.077509401,4,48,26.85714286,19.37030695,375.2087912,0,0,0,0,0,0,0,0,1,28.92307692,48,12,0,0,0,0,0,0,6,288,7,84,-1,-1,6,0,1131071.667,1733487.6,3132730,128760,2.89E+07,1742481.64,2.99E+07,2.69E+07,IPCam_AlarmClock
192.168.4.16-3.221.182.58-15753-32100-17,192.168.4.16,15753,3.221.182.58,32100,17,05-04-2022 13:54,90370137,6,7,288,84,48,48,48,0,20,4,12,4.618802154,4.116404073,0.14385283,7530844.75,1.29E+07,2.99E+07,302,9.02E+07,1.80E+07,1.51E+07,3.01E+07,1001192,9.04E+07,1.51E+07,1.54E+07,3.01E+07,205711,0,0,0,0,48,56,0.066393614,0.077459216,4,48,26.85714286,19.37030695,375.2087912,0,0,0,0,0,0,0,0,1,28.92307692,48,12,0,0,0,0,0,0,6,288,7,84,-1,-1,6,0,1207795,1736050.989,3212414,205301,2.88E+07,1745117.108,2.99E+07,2.68E+07,IPCam_AlarmClock
192.168.4.16-47.75.19.167-60424-80-6,192.168.4.16,60424,47.75.19.167,80,6,05-04-2022 13:57,498751,3,3,0,0,0,0,0,0,0,0,0,0,0,12.03005107,99750.2,220570.19,494316,108,495395,247697.5,350144.4288,495287,108,4327,2163.5,1359.76634,3125,1202,0,0,0,0,60,92,6.015025534,6.015025534,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,-1,237,0,0,0,0,0,0,0,0,0,0,IPCam_AlarmClock
192.168.4.16-47.75.19.167-60425-80-6,192.168.4.16,60425,47.75.19.167,80,6,05-04-2022 13:58,274256,3,3,0,0,0,0,0,0,0,0,0,0,0,21.87737005,54851.2,78436.06691,175688,829,270196,135098,58575.31154,176517,93679,4889,2444.5,1672.307538,3627,1262,0,0,0,0,60,92,10.93868502,10.93868502,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,-1,237,0,0,0,0,0,0,0,0,0,0,IPCam_AlarmClock
192.168.4.13-192.168.4.16-28014-12261-17,192.168.4.16,12261,192.168.4.13,28014,17,05-04-2022 13:56,119999822,20732,6230,2.05E+07,91024,1032,4,987.204563,174.6505897,89,4,14.6105939,5.453922647,171314.8291,224.6836666,4450.866882,13105.21699,158969,12,1.20E+08,5786.582606,16916.08979,164737,12,1.20E+08,19257.57521,30731.79802,1036037,20,0,0,0,0,165856,49840,172.7669229,51.91674368,4,1032,762.4434596,437.6647124,191550.4005,0,0,0,0,0,0,0,0,0,762.471738,987.204563,14.6105939,0,0,0,0,0,0,20732,20466725,6230,91024,-1,-1,20732,0,0,0,0,0,0,0,0,0,IPCam_AlarmClock
192.168.4.16-47.112.162.49-15753-32100-17,192.168.4.16,15753,47.112.162.49,32100,17,05-04-2022 13:56,90290587,3,5,144,96,48,48,48,0,48,12,19.2,16.09968944,2.658084391,0.088602813,1.29E+07,1.59E+07,2.99E+07,145410,6.01E+07,3.00E+07,14083.44576,3.01E+07,3.00E+07,9.03E+07,2.26E+07,1.50E+07,3.01E+07,146733,0,0,0,0,24,40,0.033226055,0.055376758,12,48,32,18.97366596,360,0,0,0,0,0,0,0,0,1,36,48,19.2,0,0,0,0,0,0,3,144,5,96,-1,-1,3,0,153998.3333,13745.60447,169852,145410,2.99E+07,24755.36064,2.99E+07,2.99E+07,IPCam_AlarmClock
192.168.4.16-18.182.200.45-15753-32100-17,192.168.4.16,15753,18.182.200.45,32100,17,05-04-2022 13:56,90272321,3,5,144,96,48,48,48,0,48,12,19.2,16.09968944,2.658622237,0.088620741,1.29E+07,1.59E+07,2.99E+07,128718,6.01E+07,3.00E+07,14009.19955,3.01E+07,3.00E+07,9.03E+07,2.26E+07,1.50E+07,3.01E+07,129181,0,0,0,0,24,40,0.033232778,0.055387963,12,48,32,18.97366596,360,0,0,0,0,0,0,0,0,1,36,48,19.2,0,0,0,0,0,0,3,144,5,96,-1,-1,3,0,129523.6667,309.2480127,129782,129181,2.99E+07,11240.92527,2.99E+07,2.99E+07,IPCam_AlarmClock
192.168.4.16-3.221.182.58-15753-32100-17,192.168.4.16,15753,3.221.182.58,32100,17,05-04-2022 13:56,90348608,3,5,144,96,48,48,48,0,48,12,19.2,16.09968944,2.656377395,0.088545913,1.29E+07,1.58E+07,2.98E+07,205024,6.01E+07,3.00E+07,14099.00211,3.01E+07,3.00E+07,9.03E+07,2.26E+07,1.49E+07,3.01E+07,205443,0,0,0,0,24,40,0.033204717,0.055341196,12,48,32,18.97366596,360,0,0,0,0,0,0,0,0,1,36,48,19.2,0,0,0,0,0,0,3,144,5,96,-1,-1,3,0,205862.6667,521.1452133,206446,205443,2.98E+07,11516.12475,2.98E+07,2.98E+07,IPCam_AlarmClock
