Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.4.17-34.230.191.96-39450-80-6,192.168.4.17,39450,34.230.191.96,80,6,05-04-2022 13:25,459146,3,3,0,0,0,0,0,0,0,0,0,0,0,13.0677388,91829.2,180890.5092,415063,1161,444925,222462.5,281106.7653,421235,23690,20393,10196.5,12778.12664,19232,1161,0,0,0,0,60,92,6.533869401,6.533869401,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,-1,229,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-34.230.213.152-38996-80-6,192.168.4.17,38996,34.230.213.152,80,6,05-04-2022 13:25,1273312,1,4,0,0,0,0,0,0,0,0,0,0,0,3.926767359,318328,324546.4346,730987,1102,0,0,0,0,0,1273312,424437.3333,429196.9116,859265,1102,0,0,0,0,20,112,0.785353472,3.141413888,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,-1,237,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-34.230.213.152-38996-80-6,34.230.213.152,80,192.168.4.17,38996,6,05-04-2022 13:25,11728,0,4,0,226,0,0,0,0,226,0,56.5,113,19270.12278,341.0641201,3909.333333,4859.724512,9364,41,0,0,0,0,0,11728,3909.333333,4859.724512,9364,41,0,1,0,0,0,92,0,341.0641201,0,226,90.4,123.785298,15322.8,0,0,0,1,1,0,0,0,0,113,0,56.5,0,0,0,0,0,0,0,0,4,226,-1,490,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-34.230.191.96-39452-80-6,192.168.4.17,39452,34.230.191.96,80,6,05-04-2022 13:25,1046355,1,4,0,0,0,0,0,0,0,0,0,0,0,4.778492959,261588.75,297532.664,522382,887,0,0,0,0,0,1046355,348785,301361.5333,529368,887,0,0,0,0,20,112,0.955698592,3.822794367,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,-1,237,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-34.230.191.96-39452-80-6,34.230.191.96,80,192.168.4.17,39452,6,05-04-2022 13:25,24385,0,4,0,225,0,0,0,0,225,0,56.25,112.5,9226.983802,164.0352676,8128.333333,14011.13722,24307,34,0,0,0,0,0,24385,8128.333333,14011.13722,24307,34,0,1,0,0,0,92,0,164.0352676,0,225,90,123.2375754,15187.5,0,0,0,1,1,0,0,0,0,112.5,0,56.25,0,0,0,0,0,0,0,0,4,225,-1,490,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-82.165.8.211-37959-80-6,192.168.4.17,37959,82.165.8.211,80,6,05-04-2022 13:25,4580107,1,4,0,0,0,0,0,0,0,0,0,0,0,1.091677553,1145026.75,2280988.736,4566505,998,0,0,0,0,0,4580107,1526702.333,2632552.728,4566505,998,0,0,0,0,20,112,0.218335511,0.873342042,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,-1,229,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-82.165.8.211-37959-80-6,82.165.8.211,80,192.168.4.17,37959,6,05-04-2022 13:25,23770,1,1,0,266,0,0,0,0,266,266,266,0,11190.57636,84.13967186,23770,0,23770,23770,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,42.06983593,42.06983593,0,266,177.3333333,153.5751716,23585.33333,0,0,0,1,1,0,0,0,1,266,0,266,0,0,0,0,0,0,1,0,1,266,-1,229,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-82.165.8.211-37959-80-6,192.168.4.17,37959,82.165.8.211,80,6,05-04-2022 13:25,39744,3,1,0,0,0,0,0,0,0,0,0,0,0,100.6441224,13248,22727.99322,39492,94,252,126,45.254834,158,94,0,0,0,0,0,0,0,0,0,72,32,75.48309179,25.1610306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,457,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-52.200.251.249-35970-80-6,192.168.4.17,35970,52.200.251.249,80,6,05-04-2022 13:25,3086615,4,8,260,0,130,0,65,75.05553499,0,0,0,0,84.23467131,3.887754061,280601.3636,553100.3165,1654503,37,2672624,890874.6667,1535770.114,2664223,125,3086615,440945,655488.8746,1655030,37,0,0,0,0,80,240,1.29591802,2.59183604,0,130,20,48.81939505,2383.333333,0,1,0,0,0,0,0,0,2,21.66666667,65,0,0,0,0,0,0,0,4,260,8,0,-1,237,2,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-52.200.251.249-35970-80-6,52.200.251.249,80,192.168.4.17,35970,6,05-04-2022 13:25,8686,0,4,0,227,0,0,0,0,227,0,56.75,113.5,26134.00875,460.5111674,2895.333333,3516.990522,6849,115,0,0,0,0,0,8686,2895.333333,3516.990522,6849,115,0,1,0,0,0,92,0,460.5111674,0,227,90.8,124.3330206,15458.7,0,0,0,1,1,0,0,0,0,113.5,0,56.75,0,0,0,0,0,0,0,0,4,227,-1,490,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-34.230.213.152-38999-80-6,192.168.4.17,38999,34.230.213.152,80,6,05-04-2022 13:25,1192803,1,4,0,0,0,0,0,0,0,0,0,0,0,4.191807029,298200.75,364735.8203,750234,826,0,0,0,0,0,1192803,397601,378158.0008,753883,826,0,0,0,0,20,112,0.838361406,3.353445623,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,-1,237,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-34.230.213.152-38999-80-6,34.230.213.152,80,192.168.4.17,38999,6,05-04-2022 13:25,3974,0,4,0,226,0,0,0,0,226,0,56.5,113,56869.65274,1006.542526,1324.666667,1343.77317,2729,51,0,0,0,0,0,3974,1324.666667,1343.77317,2729,51,0,1,0,0,0,92,0,1006.542526,0,226,90.4,123.785298,15322.8,0,0,0,1,1,0,0,0,0,113,0,56.5,0,0,0,0,0,0,0,0,4,226,-1,490,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-52.5.216.184-44961-443-6,192.168.4.17,44961,52.5.216.184,443,6,05-04-2022 13:25,4413343,14,14,4134,6639,1460,0,295.2857143,523.6913989,1460,0,474.2142857,660.2281865,2441.006738,6.34439698,163457.1481,586121.6356,3022562,49,4407243,339018.6923,825284.9385,3022562,114,4401896,338607.3846,827038.933,3029020,49,0,0,0,0,280,312,3.17219849,3.17219849,0,1460,371.4827586,585.5106819,342822.7586,0,1,0,0,0,0,0,0,1,384.75,295.2857143,474.2142857,0,0,0,0,0,0,14,4134,14,6639,-1,328,6,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-52.5.216.184-44961-443-6,52.5.216.184,443,192.168.4.17,44961,6,05-04-2022 13:26,88,1,1,0,0,0,0,0,0,0,0,0,0,0,22727.27273,88,0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11363.63636,11363.63636,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,328,0,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-54.152.253.151-40882-443-6,192.168.4.17,40882,54.152.253.151,443,6,05-04-2022 13:26,38175681,14,17,5075,6921,1460,0,362.5,528.5029292,1460,0,407.1176471,616.2507487,314.2314606,0.812035285,1272522.7,5333863.568,2.91E+07,28,9053703,696438.6923,1336576.122,4752169,28,3.82E+07,2385980.063,7281464.226,2.92E+07,58,0,0,0,0,328,372,0.366725613,0.445309672,0,1460,374.875,564.1919,318312.5,0,1,0,0,0,0,0,0,1,386.9677419,362.5,407.1176471,0,0,0,0,0,0,14,5075,17,6921,-1,351,6,0,0,0,0,0,0,0,0,0,IPCam_Canary
192.168.4.17-34.224.228.102-55755-443-6,192.168.4.17,55755,34.224.228.102,443,6,05-04-2022 13:25,110413386,42,52,7613,7779,1460,0,181.2619048,376.4359862,1460,0,149.5961538,369.1977662,139.4033872,0.85134605,1187240.71,3696484.104,2.42E+07,59,1.10E+08,2692631.732,5258372.425,2.42E+07,112,1.10E+08,2161479.235,4801053.685,2.42E+07,112,0,0,0,0,864,1072,0.38038866,0.470957389,0,1460,162.0210526,369.1760515,136290.957,0,1,0,0,0,0,0,0,1,163.7446809,181.2619048,149.5961538,0,0,0,0,0,0,42,7613,52,7779,-1,419,25,0,2114229,4035949.177,1.08E+07,412,1.16E+07,6167047.502,2.42E+07,5743241,IPCam_Canary
