Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.4.17-47.90.2.43-48964-30019-6,192.168.4.17,48964,47.90.2.43,30019,6,25-03-2022 10:52,283140,4,4,4,12,4,0,1,2,12,0,3,6,56.50914742,28.25457371,40448.57143,44838.01192,93133,19,170441,56813.66667,97661.91842,169583,31,203936,67978.66667,59512.82778,110784,19,0,0,0,0,128,144,14.12728685,14.12728685,0,12,1.777777778,4.05517502,16.44444444,0,1,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,4,4,4,12,-1,229,1,0,0,0,0,0,0,0,0,0,IPCam_D3D
192.168.4.17-8.8.8.8-51138-80-6,192.168.4.17,51138,8.8.8.8,80,6,25-03-2022 10:52,31124,2,2,0,0,0,0,0,0,0,0,0,0,0,128.5181853,10374.66667,13494.78915,25844,1017,25844,25844,0,25844,25844,1017,1017,0,1017,1017,0,0,0,0,40,72,64.25909266,64.25909266,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,29200,0,0,0,0,0,0,0,0,0,0,IPCam_D3D
192.168.4.17-47.91.149.233-42749-19888-6,192.168.4.17,42749,47.91.149.233,19888,6,25-03-2022 10:52,16252739,3,5,112,93,112,0,37.33333333,64.66323015,93,0,18.6,41.59086438,12.6132586,0.492224726,2321819.857,5926858.818,1.58E+07,120,246358,123179,172420.9175,245099,1259,1.63E+07,4063184.75,7799814.631,1.58E+07,120,0,0,0,0,96,176,0.184584272,0.307640454,0,112,22.77777778,45.44716102,2065.444444,0,1,0,0,0,0,0,0,1,25.625,37.33333333,18.6,0,0,0,0,0,0,3,112,5,93,-1,3,1,0,0,0,0,0,0,0,0,0,IPCam_D3D
192.168.4.17-8.8.8.8-53298-80-6,192.168.4.17,53298,8.8.8.8,80,6,25-03-2022 10:52,12182,2,2,0,0,0,0,0,0,0,0,0,0,0,328.3533082,4060.666667,4656.315747,9428,1103,9428,9428,0,9428,9428,1103,1103,0,1103,1103,0,0,0,0,40,72,164.1766541,164.1766541,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,29200,0,0,0,0,0,0,0,0,0,0,IPCam_D3D
192.168.4.13-192.168.4.17-39807-50572-17,192.168.4.17,50572,192.168.4.13,39807,17,25-03-2022 10:52,119985250,5022,3066,3229124,34580,1032,4,642.9956193,434.4979026,60,4,11.27853881,8.214659396,27200.87677,67.4082856,14836.80598,22606.97349,333734,19,1.20E+08,23894.31289,31068.64696,427991,19,1.20E+08,39146.90049,36621.29296,336370,23,0,0,0,0,40176,24528,41.85514469,25.55314091,4,1032,403.4773149,459.5368812,211174.1452,0,0,0,0,0,0,0,0,0,403.5272008,642.9956193,11.27853881,0,0,0,0,0,0,5022,3229124,3066,34580,-1,-1,5022,0,0,0,0,0,0,0,0,0,IPCam_D3D
192.168.4.17-47.89.48.227-43530-32100-17,192.168.4.17,43530,47.89.48.227,32100,17,25-03-2022 10:52,119953538,5,5,140,60,44,4,28,21.9089023,20,4,12,7.483314774,1.667312222,0.083365611,1.33E+07,2.64E+07,5.99E+07,825,1.20E+08,3.00E+07,3.46E+07,6.00E+07,3095,6.01E+07,1.50E+07,3.00E+07,6.00E+07,825,0,0,0,0,40,40,0.041682806,0.041682806,4,44,18.54545455,17.36872843,301.6727273,0,0,0,0,0,0,0,0,1,20.4,28,12,0,0,0,0,0,0,5,140,5,60,-1,-1,5,0,133581.5,49277.56447,168426,98737,5.98E+07,53931.0342,5.99E+07,5.98E+07,IPCam_D3D
192.168.4.17-47.88.23.67-43530-32100-17,192.168.4.17,43530,47.88.23.67,32100,17,25-03-2022 10:52,119953240,5,5,140,60,44,4,28,21.9089023,20,4,12,7.483314774,1.667316364,0.083365818,1.33E+07,2.63E+07,5.98E+07,87,1.20E+08,3.00E+07,3.46E+07,6.00E+07,278,6.02E+07,1.51E+07,3.00E+07,6.00E+07,87,0,0,0,0,40,40,0.041682909,0.041682909,4,44,18.54545455,17.36872843,301.6727273,0,0,0,0,0,0,0,0,1,20.4,28,12,0,0,0,0,0,0,5,140,5,60,-1,-1,5,0,229849,1052.17489,230593,229105,5.97E+07,24463.0662,5.98E+07,5.97E+07,IPCam_D3D
192.168.4.17-47.94.37.184-43530-32100-17,192.168.4.17,43530,47.94.37.184,32100,17,25-03-2022 10:52,119951468,5,5,140,60,44,4,28,21.9089023,20,4,12,7.483314774,1.667340995,0.08336705,1.33E+07,2.63E+07,5.97E+07,294,1.20E+08,3.00E+07,3.46E+07,6.00E+07,294,6.02E+07,1.51E+07,2.99E+07,6.00E+07,1288,0,0,0,0,40,40,0.041683525,0.041683525,4,44,18.54545455,17.36872843,301.6727273,0,0,0,0,0,0,0,0,1,20.4,28,12,0,0,0,0,0,0,5,140,5,60,-1,-1,5,0,254202.5,9979.398003,261259,247146,5.97E+07,14179.61228,5.97E+07,5.97E+07,IPCam_D3D
192.168.4.17-120.76.28.153-43530-32100-17,192.168.4.17,43530,120.76.28.153,32100,17,25-03-2022 10:52,119951766,5,1,140,4,44,4,28,21.9089023,4,4,4,0,1.200482534,0.050020106,2.40E+07,3.28E+07,6.00E+07,984,1.20E+08,3.00E+07,3.46E+07,6.00E+07,984,0,0,0,0,0,0,0,0,0,40,8,0.041683421,0.008336684,4,44,21.14285714,21.38089935,457.1428571,0,0,0,0,0,0,0,0,0,24.66666667,28,4,0,0,0,0,0,0,5,140,1,4,-1,-1,5,0,8588,9801.914201,15519,1657,6.00E+07,14241.13057,6.00E+07,6.00E+07,IPCam_D3D
192.168.4.13-192.168.4.17-39807-50572-17,192.168.4.17,50572,192.168.4.13,39807,17,25-03-2022 10:54,119988541,4679,3058,1978327,32744,1032,4,422.8097884,453.3217924,108,4,10.70765206,7.945937728,16760.52549,64.48115741,15510.41119,20334.91008,118541,20,1.20E+08,25628.12591,26949.0967,123648,27,1.20E+08,39250.42231,32267.95995,248735,23,0,0,0,0,37432,24464,38.9953904,25.48576701,4,1032,259.9094081,406.0450216,164872.5596,0,0,0,0,0,0,0,0,0,259.9430012,422.8097884,10.70765206,0,0,0,0,0,0,4679,1978327,3058,32744,-1,-1,4679,0,0,0,0,0,0,0,0,0,IPCam_D3D
