Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.4.6-47.74.225.106-36051-8666-6,192.168.4.6,36051,47.74.225.106,8666,6,05-04-2021 22:11,302375,7,8,138,221,72,0,19.71428571,32.44335723,183,0,27.625,64.17373183,1187.267466,49.60727573,21598.21429,27007.67843,85446,96,255281,42546.83333,34966.95366,87174,1396,277690,39670,30955.28883,89615,96,0,0,0,0,140,192,23.15006201,26.45721372,0,183,22.4375,48.9312017,2394.2625,0,1,0,0,0,0,0,0,1,23.93333333,19.71428571,27.625,0,0,0,0,0,0,7,138,8,221,-1,29,4,0,0,0,0,0,0,0,0,0,IPCam_Ezviz
161.117.227.4-192.168.4.6-8820-32954-6,192.168.4.6,32954,161.117.227.4,8820,6,05-04-2021 22:11,90170977,63,60,17714,2278,1400,0,281.1746032,260.0993321,869,0,37.96666667,129.3227426,221.7121369,1.364075272,739106.3689,4117444.245,3.00E+07,62,9.01E+07,1453615.661,5707846.233,3.00E+07,366,9.02E+07,1528264.102,5857156.906,3.00E+07,62,0,0,0,0,1260,1256,0.6986727,0.665402572,0,1400,161.2258065,238.9871867,57114.87543,0,1,0,0,0,0,0,0,0,162.5365854,281.1746032,37.96666667,0,0,0,0,0,0,63,17714,60,2278,-1,126,50,0,1274585,2320309.54,4752108,47508,2.13E+07,1.01E+07,3.00E+07,1.13E+07,IPCam_Ezviz
192.168.4.6-47.74.211.223-20856-6000-17,192.168.4.6,20856,47.74.211.223,6000,17,05-04-2021 22:12,100108405,4,6,240,280,60,60,60,0,60,44,46.66666667,6.531972647,5.194369044,0.099891712,1.11E+07,1.31E+07,2.50E+07,45598,7.50E+07,2.50E+07,12337.2814,2.50E+07,2.50E+07,1.00E+08,2.00E+07,1.12E+07,2.50E+07,45893,0,0,0,0,32,48,0.039956685,0.059935027,44,60,52.72727273,8.355727486,69.81818182,0,0,0,0,0,0,0,0,1,58,60,46.66666667,0,0,0,0,0,0,4,240,6,280,-1,-1,4,0,45771,124.0349413,45893,45598,2.50E+07,11766.03322,2.50E+07,2.50E+07,IPCam_Ezviz
192.168.4.6-47.241.58.2-20856-6000-17,192.168.4.6,20856,47.241.58.2,6000,17,05-04-2021 22:12,100108625,4,6,240,280,60,60,60,0,60,44,46.66666667,6.531972647,5.194357629,0.099891493,1.11E+07,1.31E+07,2.50E+07,46631,7.50E+07,2.50E+07,12466.28831,2.50E+07,2.50E+07,1.00E+08,2.00E+07,1.12E+07,2.50E+07,47036,0,0,0,0,32,48,0.039956597,0.059934896,44,60,52.72727273,8.355727486,69.81818182,0,0,0,0,0,0,0,0,1,58,60,46.66666667,0,0,0,0,0,0,4,240,6,280,-1,-1,4,0,46876.5,175.9289629,47036,46631,2.50E+07,15391.92475,2.50E+07,2.50E+07,IPCam_Ezviz
161.117.227.4-192.168.4.6-8820-32954-6,192.168.4.6,32954,161.117.227.4,8820,6,05-04-2021 22:13,90100041,7,5,6,10,2,0,0.857142857,1.069044968,2,2,2,0,0.177580385,0.133185289,8190912.818,1.40E+07,3.00E+07,1270,9.01E+07,1.50E+07,1.64E+07,3.00E+07,46259,9.01E+07,2.25E+07,1.50E+07,3.00E+07,45766,0,1,0,0,140,100,0.077691419,0.05549387,0,2,1.384615385,0.960768923,0.923076923,0,0,0,1,1,0,0,0,0,1.5,0.857142857,2,0,0,0,0,0,0,7,6,5,10,-1,126,3,0,47596.33333,206.6696236,47726,47358,3.00E+07,9376.105588,3.00E+07,3.00E+07,IPCam_Ezviz
192.168.4.6-192.168.4.13-9010-46798-6,192.168.4.13,46798,192.168.4.6,9010,6,05-04-2021 22:16,42100,2,5,176,119,176,0,88,124.4507935,119,0,23.8,53.21841786,7007.125891,166.2707838,7016.666667,10287.52716,26663,630,10318,10318,0,10318,10318,42100,10525,12263.3839,26663,630,0,0,0,0,64,176,47.50593824,118.7648456,0,176,36.875,69.95802313,4894.125,0,1,0,0,0,0,0,0,2,42.14285714,88,23.8,0,0,0,0,0,0,2,176,5,119,-1,7476,1,0,0,0,0,0,0,0,0,0,IPCam_Ezviz
192.168.4.6-47.74.155.219-38447-8080-6,192.168.4.6,38447,47.74.155.219,8080,6,05-04-2021 22:16,197942,18,22,23800,122,1400,0,1322.222222,329.9831646,122,0,5.545454545,26.0104874,120853.5834,202.079397,5075.435897,13634.58257,46476,72,58131,3419.470588,11938.70622,49699,281,197942,9425.809524,19273.43835,50630,72,0,0,0,0,360,472,90.93572865,111.1436683,0,1400,583.4634146,696.011354,484431.8049,0,1,0,0,0,0,0,0,1,598.05,1322.222222,5.545454545,0,0,0,0,0,0,18,23800,22,122,-1,126,17,0,0,0,0,0,0,0,0,0,IPCam_Ezviz
192.168.4.6-47.74.155.219-38447-8080-6,192.168.4.6,38447,47.74.155.219,8080,6,05-04-2021 22:16,117,1,1,0,0,0,0,0,0,0,0,0,0,0,17094.01709,117,0,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8547.008547,8547.008547,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,7000,0,0,0,0,0,0,0,0,0,0,IPCam_Ezviz
192.168.4.6-47.74.155.219-38448-8080-6,192.168.4.6,38448,47.74.155.219,8080,6,05-04-2021 22:16,149035,10,14,12600,122,1400,0,1260,442.7188724,122,0,8.714285714,32.60587151,85362.49874,161.0359983,6479.782609,15515.03897,48972,23,6884,764.8888889,824.3748305,2729,325,149035,11464.23077,21013.19781,50020,23,0,0,0,0,200,312,67.09833261,93.93766565,0,1400,508.88,682.547698,465871.36,0,1,0,0,0,0,0,0,1,530.0833333,1260,8.714285714,0,0,0,0,0,0,10,12600,14,122,-1,86,9,0,0,0,0,0,0,0,0,0,IPCam_Ezviz
192.168.4.6-47.74.155.219-38448-8080-6,192.168.4.6,38448,47.74.155.219,8080,6,05-04-2021 22:16,34,1,1,0,0,0,0,0,0,0,0,0,0,0,58823.52941,34,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,29411.76471,29411.76471,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,7000,0,0,0,0,0,0,0,0,0,0,IPCam_Ezviz
