Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.4.15-8.8.8.8-56724-53-6,192.168.4.15,56724,8.8.8.8,53,6,07-04-2022 10:50,14737310,2,2,0,0,0,0,0,0,0,0,0,0,0,0.271419954,4912436.667,8503979.178,1.47E+07,2501,1.47E+07,1.47E+07,0,1.47E+07,1.47E+07,2501,2501,0,2501,2501,0,0,0,0,76,72,0.135709977,0.135709977,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,65535,0,0,0,0,0,0,0,0,0,0,IPCam_Netatmo
192.168.4.15-51.145.143.28-51304-443-6,192.168.4.15,51304,51.145.143.28,443,6,07-04-2022 10:50,1640424,89,81,109934,6290,1456,0,1235.213483,515.2595214,1456,0,77.65432099,308.6590417,70849.97537,103.631744,9706.650888,60247.40792,673981,39,1637519,18608.17045,85810.91675,702288,640,1640114,20501.425,86825.2446,673981,39,0,0,0,0,1792,1652,54.25426597,49.37747802,0,1456,679.6725146,720.584353,519241.8098,0,1,0,0,0,0,0,0,0,683.6705882,1235.213483,77.65432099,0,0,0,0,0,0,89,109934,81,6290,-1,1428,80,0,0,0,0,0,0,0,0,0,IPCam_Netatmo
192.168.4.15-51.145.143.28-51307-443-6,192.168.4.15,51307,51.145.143.28,443,6,07-04-2022 10:50,1494713,88,78,109934,6273,1456,0,1249.25,500.8066883,1456,0,80.42307692,314.6414789,77745.35981,111.0581095,9058.866667,52120.52228,528940,47,1492029,17149.75862,72792.81461,542026,253,1490129,19352.32468,75578.14248,528940,47,0,0,0,0,1760,1592,58.87417852,52.18393096,0,1456,695.8502994,721.5280357,520602.7064,0,1,0,0,0,0,0,0,0,700.0421687,1249.25,80.42307692,0,0,0,0,0,0,88,109934,78,6273,-1,1428,80,0,0,0,0,0,0,0,0,0,IPCam_Netatmo
192.168.4.15-51.145.143.28-51307-443-6,51.145.143.28,443,192.168.4.15,51307,6,07-04-2022 10:50,368,1,1,0,0,0,0,0,0,0,0,0,0,0,5434.782609,368,0,368,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2717.391304,2717.391304,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1428,0,0,0,0,0,0,0,0,0,0,IPCam_Netatmo
192.168.4.15-51.145.143.28-51308-443-6,192.168.4.15,51308,51.145.143.28,443,6,07-04-2022 10:50,1685337,96,83,119946,6285,1456,0,1249.4375,500.1378507,1456,0,75.72289157,305.0939605,74899.56015,106.210212,9468.185393,59150.70505,674845,17,1682009,17705.35789,84260.58067,715814,584,1685159,20550.71951,86296.84503,674845,17,0,0,0,0,1932,1692,56.96190139,49.24831058,0,1456,701.2833333,721.6256498,520743.5785,0,1,0,0,0,0,0,0,0,705.2011173,1249.4375,75.72289157,0,0,0,0,0,0,96,119946,83,6285,-1,1428,86,0,0,0,0,0,0,0,0,0,IPCam_Netatmo
192.168.4.15-51.145.143.28-51310-443-6,192.168.4.15,51310,51.145.143.28,443,6,07-04-2022 10:50,2156631,96,80,125484,7470,1456,0,1307.125,428.0739545,1456,0,93.375,335.4547782,61648.93299,81.60876849,12323.60571,95896.95961,1205628,56,2152372,22656.54737,134864.9935,1245208,349,2153215,27255.88608,141974.9707,1205628,64,0,0,0,0,1932,1632,44.51387372,37.09489477,0,1456,751.1525424,719.6527212,517900.0391,0,1,0,0,0,0,0,0,0,755.4204545,1307.125,93.375,0,0,0,0,0,0,96,125484,80,7470,-1,1428,90,0,0,0,0,0,0,0,0,0,IPCam_Netatmo
192.168.4.15-51.145.143.28-51310-443-6,51.145.143.28,443,192.168.4.15,51310,6,07-04-2022 10:50,95,1,1,0,0,0,0,0,0,0,0,0,0,0,21052.63158,95,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10526.31579,10526.31579,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1428,0,0,0,0,0,0,0,0,0,0,IPCam_Netatmo
192.168.4.15-51.145.143.28-51314-443-6,192.168.4.15,51314,51.145.143.28,443,6,07-04-2022 10:50,1440003,99,81,126587,6290,1456,0,1278.656566,463.8072295,1456,0,77.65432099,309.0398098,92275.5022,124.9997396,8044.709497,50106.4598,540787,24,1437826,14671.69388,71211.22859,583908,250,1439588,17994.85,74227.00844,540787,24,0,0,0,0,1992,1652,68.74985677,56.24988281,0,1456,734.1270718,720.8138536,519572.6115,0,1,0,0,0,0,0,0,0,738.2055556,1278.656566,77.65432099,0,0,0,0,0,0,99,126587,81,6290,-1,1428,91,0,0,0,0,0,0,0,0,0,IPCam_Netatmo
192.168.4.15-51.145.143.28-51315-443-6,192.168.4.15,51315,51.145.143.28,443,6,07-04-2022 10:50,1535502,97,80,126544,6274,1456,0,1304.57732,430.5906756,1456,0,78.425,310.5280018,86498.09639,115.2717483,8724.443182,58233.52545,675569,26,1523743,15872.32292,83740.82854,725810,26,1525068,19304.65823,86206.27982,675569,45,0,0,0,0,1940,1632,63.17152306,52.1002252,0,1456,746.1685393,720.5257063,519157.2935,0,1,0,0,0,0,0,0,0,750.3841808,1304.57732,78.425,0,0,0,0,0,0,97,126544,80,6274,-1,1428,91,0,0,0,0,0,0,0,0,0,IPCam_Netatmo
192.168.4.15-51.145.143.28-51315-443-6,51.145.143.28,443,192.168.4.15,51315,6,07-04-2022 10:50,412,1,1,0,0,0,0,0,0,0,0,0,0,0,4854.368932,412,0,412,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2427.184466,2427.184466,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1428,0,0,0,0,0,0,0,0,0,0,IPCam_Netatmo
