Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
149.129.135.28-192.168.4.7-1340-46359-6,192.168.4.7,46359,149.129.135.28,1340,6,24-01-2022 21:13,23000,2,2,0,0,0,0,0,0,0,0,0,0,0,173.9130435,7666.666667,9476.54137,18571,1423,1423,1423,0,1423,1423,18571,18571,0,18571,18571,0,0,0,0,64,80,86.95652174,86.95652174,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,8192,0,0,0,0,0,0,0,0,0,0,IPCam_V380
149.129.135.28-192.168.4.7-1340-46359-6,149.129.135.28,1340,192.168.4.7,46359,6,24-01-2022 21:13,72,1,1,0,0,0,0,0,0,0,0,0,0,0,27777.77778,72,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13888.88889,13888.88889,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1029,0,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-120.24.36.178-54079-80-6,192.168.4.7,54079,120.24.36.178,80,6,24-01-2022 21:13,893882,1,4,0,0,0,0,0,0,0,0,0,0,0,5.593579466,223470.5,251659.9124,450775,2561,0,0,0,0,0,893882,297960.6667,250720.5466,453336,8720,0,0,0,0,32,144,1.118715893,4.474863573,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,-1,235,0,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-120.24.36.178-54079-80-6,120.24.36.178,80,192.168.4.7,54079,6,24-01-2022 21:13,7487,0,4,0,187,0,0,0,0,187,0,46.75,93.5,24976.62615,534.2593829,2495.666667,3739.966889,6807,124,0,0,0,0,0,7487,2495.666667,3739.966889,6807,124,0,1,0,0,0,140,0,534.2593829,0,187,74.8,102.4241183,10490.7,0,0,0,1,1,0,0,0,0,93.5,0,46.75,0,0,0,0,0,0,0,0,4,187,-1,1959,0,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-120.24.33.45-37830-8002-6,192.168.4.7,37830,120.24.33.45,8002,6,24-01-2022 21:13,6806978,4,4,133,0,133,0,33.25,66.5,0,0,0,0,19.5387733,1.175264559,972425.4286,2230146.979,6021714,814,6546627,2182209,3335386.901,6021714,814,776994,258998,1054.005218,259617,257781,0,0,0,0,128,144,0.58763228,0.58763228,0,133,14.77777778,44.33333333,1965.444444,0,1,0,0,0,0,0,0,1,16.625,33.25,0,0,0,0,0,0,0,4,133,4,0,-1,10,1,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-192.168.4.13-8800-36786-6,192.168.4.13,36786,192.168.4.7,8800,6,24-01-2022 21:13,178637,4,4,520,256,520,0,130,260,256,0,64,128,4344.004881,44.78355548,25519.57143,41438.63676,115412,1258,155135,51711.66667,60903.0948,119824,2499,144567,48189,59456.61409,115412,2499,0,0,0,0,128,144,22.39177774,22.39177774,0,520,86.22222222,183.3806,33628.44444,0,1,0,0,0,0,0,0,1,97,130,64,0,0,0,0,0,0,4,520,4,256,-1,15544,1,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-192.168.4.13-8800-36786-6,192.168.4.7,8800,192.168.4.13,36786,6,24-01-2022 21:13,131137,1,1,0,0,0,0,0,0,0,0,0,0,0,15.25122582,131137,0,131137,131137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7.625612909,7.625612909,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,15544,0,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-119.23.22.242-52348-80-6,192.168.4.7,52348,119.23.22.242,80,6,24-01-2022 21:13,525816,3,4,0,187,0,0,0,0,187,0,46.75,93.5,355.6377136,13.31264168,87636,129917.824,258334,2650,270255,135127.5,186845.1888,267247,3008,520158,173386,144806.3386,261563,6263,0,0,0,0,96,144,5.705417865,7.60722382,0,187,23.375,66.11448404,4371.125,0,1,0,0,0,0,0,0,1,26.71428571,0,46.75,0,0,0,0,0,0,3,0,4,187,-1,22,0,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-192.168.4.13-8800-36789-6,192.168.4.13,36789,192.168.4.7,8800,6,24-01-2022 21:13,775256,3,5,256,256,256,0,85.33333333,147.8016689,256,0,51.2,114.4866804,660.4270073,10.31917199,110750.8571,210102.1584,553577,1029,560637,280318.5,394974.9987,559608,1029,775256,193814,259304.9524,553577,2859,0,0,0,0,96,176,3.869689496,6.449482494,0,256,56.88888889,112.8853893,12743.11111,0,1,0,0,0,0,0,0,1,64,85.33333333,51.2,0,0,0,0,0,0,3,256,5,256,-1,15544,1,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-192.168.4.13-8800-36789-6,192.168.4.13,36789,192.168.4.7,8800,6,24-01-2022 21:13,200449,1,1,0,0,0,0,0,0,0,0,0,0,0,9.977600287,200449,0,200449,200449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.988800144,4.988800144,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,343,0,0,0,0,0,0,0,0,0,0,IPCam_V380
149.129.135.28-192.168.4.7-8877-55436-17,192.168.4.7,55436,149.129.135.28,8877,17,24-01-2022 21:13,112902495,11,5,244,148,84,16,22.18181818,20.50277143,84,16,29.6,30.41052449,3.472022474,0.141715203,7526833,4688783.412,1.03E+07,15136,1.03E+08,1.03E+07,46057.57189,1.04E+07,1.02E+07,9.24E+07,2.31E+07,1.54E+07,3.09E+07,15332,0,0,0,0,88,40,0.097429202,0.044286001,16,84,28,26.72077843,714,0,0,0,0,0,0,0,0,0,29.75,22.18181818,29.6,0,0,0,0,0,0,11,244,5,148,-1,-1,11,0,15240.5,98.61879469,15332,15136,1.03E+07,42738.99487,1.03E+07,1.02E+07,IPCam_V380
192.168.4.13-103.230.236.30-50941-7000-6,192.168.4.13,50941,103.230.236.30,7000,6,24-01-2022 21:13,15509733,11,11,992,144,216,0,90.18181818,98.37664172,36,0,13.09090909,18.16289925,73.24432987,1.418464135,738558.7143,1899096.927,8906195,223,1.51E+07,1511154,2757169.312,9304569,58806,1.55E+07,1549668.9,2769414.147,9302084,223,0,0,0,0,232,264,0.709232067,0.709232067,0,216,49.39130435,78.4264213,6150.703557,0,1,0,0,0,0,0,0,1,51.63636364,90.18181818,13.09090909,0,0,0,0,0,0,11,992,11,144,-1,5,6,0,5128121,0,5128121,5128121,8906195,0,8906195,8906195,IPCam_V380
192.168.4.7-192.168.4.13-8800-36787-6,192.168.4.13,36787,192.168.4.7,8800,6,24-01-2022 21:13,119999073,5977,8066,528,7377130,256,0,0.088338631,4.687013825,1448,0,914.5958344,504.0543287,61480.95827,117.025904,8545.725182,18136.79135,156512,13,1.20E+08,20075.76121,25875.99595,196008,13,1.20E+08,14878.99231,23408.40066,156512,21,0,0,0,0,191264,258128,49.80871811,67.21718592,0,1448,525.3245514,591.9442802,350398.0308,0,1,0,0,0,0,0,0,1,525.3619597,0.088338631,914.5958344,0,0,0,0,0,0,5977,528,8066,7377130,-1,16616,3,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-192.168.4.13-8800-36788-6,192.168.4.13,36788,192.168.4.7,8800,6,24-01-2022 21:13,119229567,43,44,896,16,256,0,20.8372093,36.87361312,16,0,0.363636364,2.412090757,7.649109386,0.729684777,1386390.314,1492958.274,3007764,1745,1.19E+08,2838403.452,652421.5626,3011915,3659,1.19E+08,2772780.628,775074.668,3014737,3149,0,0,0,0,1376,1424,0.360648798,0.369035979,0,256,10.36363636,27.66390312,765.2915361,0,1,0,0,0,0,0,0,1,10.48275862,20.8372093,0.363636364,0,0,0,0,0,0,43,896,44,16,-1,15544,41,0,0,0,0,0,0,0,0,0,IPCam_V380
149.129.135.28-192.168.4.7-8877-55436-17,192.168.4.7,55436,149.129.135.28,8877,17,24-01-2022 21:15,113082400,11,5,244,148,84,16,22.18181818,20.50277143,84,16,29.6,30.41052449,3.466498766,0.141489746,7538826.667,4696478.584,1.04E+07,14803,1.03E+08,1.03E+07,51660.18928,1.04E+07,1.02E+07,9.25E+07,2.31E+07,1.54E+07,3.09E+07,14803,0,0,0,0,88,40,0.0972742,0.044215545,16,84,28,26.72077843,714,0,0,0,0,0,0,0,0,0,29.75,22.18181818,29.6,0,0,0,0,0,0,11,244,5,148,-1,-1,11,0,14914.25,90.35992843,14996,14803,1.03E+07,43570.64926,1.04E+07,1.02E+07,IPCam_V380
142.250.195.163-192.168.4.13-80-56282-6,192.168.4.13,56282,142.250.195.163,80,6,24-01-2022 21:13,63224,2,3,0,0,0,0,0,0,0,0,0,0,0,79.08389219,15806,7900.400792,22525,4538,39058,39058,0,39058,39058,46691,23345.5,5257.338918,27063,19628,0,0,0,0,64,112,31.63355688,47.45033532,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,-1,261,0,0,0,0,0,0,0,0,0,0,IPCam_V380
142.250.71.35-192.168.4.13-443-53117-6,192.168.4.13,53117,142.250.71.35,443,6,24-01-2022 21:13,262990,8,8,513,4795,245,0,64.125,97.39674019,1418,0,599.375,678.6391714,20183.27693,60.83881516,17532.66667,20692.74776,73378,139,233051,33293,30636.30541,73378,1449,211883,30269,33754.55996,96821,139,0,0,0,0,256,272,30.41940758,30.41940758,0,1418,312.2352941,532.6710441,283738.4412,0,1,0,0,0,0,0,0,1,331.75,64.125,599.375,0,0,0,0,0,0,8,513,8,4795,-1,265,3,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.13-103.230.236.30-50941-7000-6,192.168.4.13,50941,103.230.236.30,7000,6,24-01-2022 21:15,435702,0,2,0,168,0,0,0,0,168,0,84,118.7939392,385.5846427,4.590293366,435702,0,435702,435702,0,0,0,0,0,435702,435702,0,435702,435702,0,1,0,0,0,40,0,4.590293366,0,168,112,96.99484522,9408,0,0,0,1,1,0,0,0,0,168,0,84,0,0,0,0,0,0,0,0,2,168,-1,5,0,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-192.168.4.13-8800-36787-6,192.168.4.13,36787,192.168.4.7,8800,6,24-01-2022 21:15,119992505,6267,8417,0,7799220,0,0,0,0,1448,2,926.6033028,499.2543726,64997.55964,122.37431,8172.206293,18027.85562,236796,12,1.20E+08,19149.77242,26349.98252,295701,12,1.20E+08,14257.48966,23279.2881,236796,21,0,0,0,0,200580,269344,52.22826209,70.14604787,0,1448,531.1997276,594.1061927,352962.1682,0,0,0,0,1,0,0,0,1,531.235903,0,926.6033028,0,0,0,0,0,0,6267,0,8417,7799220,-1,16616,0,0,0,0,0,0,0,0,0,0,IPCam_V380
142.250.195.74-192.168.4.13-443-46697-6,192.168.4.13,46697,142.250.195.74,443,6,24-01-2022 21:13,3351691,96,115,58247,6735,1418,0,606.7395833,650.562999,608,0,58.56521739,104.4721175,19387.82543,62.95329731,15960.43333,38996.62003,267829,24,3099364,32624.88421,58007.7246,287149,192,3351691,29400.79825,55400.73613,293036,24,0,0,0,0,3120,3720,28.64225849,34.31103882,0,1418,306.5188679,520.9738098,271413.7105,0,1,0,0,0,0,0,0,1,307.971564,606.7395833,58.56521739,0,0,0,0,0,0,96,58247,115,6735,-1,764,70,0,0,0,0,0,0,0,0,0,IPCam_V380
142.250.195.74-192.168.4.13-443-46697-6,192.168.4.13,46697,142.250.195.74,443,6,24-01-2022 21:17,3158,1,1,0,73,0,0,0,0,73,73,73,0,23115.89614,633.3122229,3158,0,3158,3158,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,316.6561115,316.6561115,0,73,48.66666667,42.14656965,1776.333333,0,0,0,1,1,0,0,0,1,73,0,73,0,0,0,0,0,0,1,0,1,73,-1,764,0,0,0,0,0,0,0,0,0,0,IPCam_V380
192.168.4.7-192.168.4.13-8800-36788-6,192.168.4.13,36788,192.168.4.7,8800,6,24-01-2022 21:15,117015655,39,41,624,16,16,16,16,0,16,0,0.390243902,2.49878019,5.469353652,0.683669206,1481210.823,1506296.326,3067413,2297,1.14E+08,2999623.737,18199.83759,3070135,2927122,1.17E+08,2925391.375,474374.97,3081250,2826,0,1,0,0,1248,1312,0.333288738,0.350380468,0,16,8.098765432,8.049231234,64.79012346,0,0,0,1,1,0,0,0,1,8.2,16,0.390243902,0,0,0,0,0,0,39,624,41,16,-1,15544,39,0,0,0,0,0,0,0,0,0,IPCam_V380
142.250.195.37-192.168.4.13-443-41175-6,192.168.4.13,41175,142.250.195.37,443,6,24-01-2022 21:13,29387047,37,42,4518,10823,1242,0,122.1081081,280.1512274,1418,0,257.6904762,430.4341817,522.0327173,2.688259218,376757.0128,3009858.215,2.66E+07,18,2.93E+07,815254.6944,4425653.985,2.66E+07,241,2.94E+07,716757.2439,4148633.867,2.66E+07,18,0,0,0,0,1208,1360,1.259058115,1.429201103,0,1418,191.7625,370.0924703,136968.4366,0,1,0,0,0,0,0,0,1,194.1898734,122.1081081,257.6904762,0,0,0,0,0,0,37,4518,42,10823,-1,312,15,0,2231883,0,2231883,2231883,2.66E+07,0,2.66E+07,2.66E+07,IPCam_V380
142.250.195.37-192.168.4.13-443-41175-6,192.168.4.13,41175,142.250.195.37,443,6,24-01-2022 21:17,15074,1,1,0,73,0,0,0,0,73,73,73,0,4842.77564,132.6787847,15074,0,15074,15074,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,66.33939233,66.33939233,0,73,48.66666667,42.14656965,1776.333333,0,0,0,1,1,0,0,0,1,73,0,73,0,0,0,0,0,0,1,0,1,73,-1,312,0,0,0,0,0,0,0,0,0,0,IPCam_V380
142.250.195.37-192.168.4.13-443-41175-6,192.168.4.13,41175,142.250.195.37,443,6,24-01-2022 21:17,15486,0,3,0,0,0,0,0,0,0,0,0,0,0,193.723363,7743,8987.327189,14098,1388,0,0,0,0,0,15486,7743,8987.327189,14098,1388,0,0,0,0,0,108,0,193.723363,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,312,0,0,0,0,0,0,0,0,0,0,IPCam_V380
142.250.195.163-192.168.4.13-80-56282-6,192.168.4.13,56282,142.250.195.163,80,6,24-01-2022 21:17,60010609,2,1,0,0,0,0,0,0,0,0,0,0,0,0.049991161,3.00E+07,4.24E+07,6.00E+07,36926,6.00E+07,6.00E+07,0,6.00E+07,6.00E+07,0,0,0,0,0,0,0,0,0,64,32,0.03332744,0.01666372,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,261,0,0,0,0,0,0,0,0,0,0,IPCam_V380
142.250.71.35-192.168.4.13-443-53117-6,192.168.4.13,53117,142.250.71.35,443,6,24-01-2022 21:17,60003714,3,1,31,0,31,0,10.33333333,17.89785834,0,0,0,0,0.516634687,0.06666254,2.00E+07,3.46E+07,6.00E+07,218,6.00E+07,3.00E+07,4.24E+07,6.00E+07,218,0,0,0,0,0,0,0,0,0,96,32,0.049996905,0.016665635,0,31,6.2,13.86362146,192.2,1,0,0,0,1,0,0,0,0,7.75,10.33333333,0,0,0,0,0,0,0,3,31,1,0,-1,265,1,0,43739,0,43739,43739,6.00E+07,0,6.00E+07,6.00E+07,IPCam_V380
142.250.195.163-192.168.4.13-80-56282-6,192.168.4.13,56282,142.250.195.163,80,6,24-01-2022 21:18,459775,1,1,0,0,0,0,0,0,0,0,0,0,0,4.349953782,459775,0,459775,459775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2.174976891,2.174976891,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,343,0,0,0,0,0,0,0,0,0,0,IPCam_V380
142.250.76.69-192.168.4.13-443-38665-6,192.168.4.13,38665,142.250.76.69,443,6,24-01-2022 21:14,455316,16,16,1701,5865,653,0,106.3125,203.4580116,1418,0,366.5625,566.0597105,16617.03081,70.28085989,14687.6129,46055.02609,255542,20,435773,29051.53333,76008.15261,296804,226,455316,30354.4,65278.9352,255542,20,0,0,0,0,524,528,35.14042994,35.14042994,0,1418,229.2727273,433.8537536,188229.0795,0,1,0,0,0,0,0,0,1,236.4375,106.3125,366.5625,0,0,0,0,0,0,16,1701,16,5865,-1,271,7,0,0,0,0,0,0,0,0,0,IPCam_V380
