Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.178-13.89.179.8-53494-443-6,192.168.0.178,53494,13.89.179.8,443,6,21-01-2022 18:54,317233,4,3,2880,1440,1440,0,720,831.3843876,1440,0,480,831.3843876,13617.75099,22.06580022,52872.16667,127182.46,312468,0,317233,105744.3333,179032.2654,312468,1139,315949,157974.5,223409.6804,315949,0,0,0,0,0,80,60,12.60902869,9.456771521,0,1440,720,769.7123767,592457.1429,0,0,0,0,1,0,0,0,0,822.8571429,720,480,0,0,0,0,0,0,4,2880,3,1440,-1,2053,2,0,0,0,0,0,0,0,0,0,VConf_Teams
192.168.0.178-192.229.232.200-53470-443-6,192.229.232.200,443,192.168.0.178,53470,6,21-01-2022 18:54,0,1,1,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,136,0,0,0,0,0,0,0,0,0,0,VConf_Teams
192.168.0.178-192.229.232.200-53470-443-6,192.168.0.178,53470,192.229.232.200,443,6,21-01-2022 18:54,386,1,1,0,0,0,0,0,0,0,0,0,0,0,5181.34715,386,0,386,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2590.673575,2590.673575,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,508,0,0,0,0,0,0,0,0,0,0,VConf_Teams
192.168.0.178-20.190.145.142-53518-443-6,192.168.0.178,53518,20.190.145.142,443,6,21-01-2022 18:54,473164,7,21,5760,23360,1440,0,822.8571429,769.7123767,1460,0,1112.380952,637.1962395,61543.1436,59.17609962,17524.59259,72747.39517,379027,0,452215,75369.16667,158896.1974,398524,0,473164,23658.2,84596.3575,379027,0,0,0,0,0,140,444,14.7940249,44.38207471,0,1460,1004.137931,685.5525261,469982.266,0,1,0,0,0,0,0,0,3,1040,822.8571429,1112.380952,0,0,0,0,0,0,7,5760,21,23360,-1,2053,4,0,0,0,0,0,0,0,0,0,VConf_Teams
192.168.0.178-20.190.145.142-53518-443-6,192.168.0.178,53518,20.190.145.142,443,6,21-01-2022 18:54,620,1,1,0,0,0,0,0,0,0,0,0,0,0,3225.806452,620,0,620,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,1612.903226,1612.903226,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,517,0,0,0,0,0,0,0,0,0,0,VConf_Teams
192.168.0.178-20.190.145.142-53520-443-6,192.168.0.178,53520,20.190.145.142,443,6,21-01-2022 18:54,307853,10,20,5760,21900,1440,0,576,743.6128025,1460,0,1095,648.6220211,89848.07684,97.4491072,10615.62069,43457.83085,234226,0,291830,32425.55556,82649.46294,251721,0,306758,16145.15789,53715.27712,234226,0,0,0,0,0,200,424,32.48303573,64.96607147,0,1460,892.2580645,720.8453818,519618.0645,0,1,0,0,0,0,0,0,2,922,576,1095,0,0,0,0,0,0,10,5760,20,21900,-1,2053,4,0,0,0,0,0,0,0,0,0,VConf_Teams
192.168.0.178-20.190.145.142-53522-443-6,192.168.0.178,53522,20.190.145.142,443,6,21-01-2022 18:54,443933,7,21,5760,23360,1440,0,822.8571429,769.7123767,1460,0,1112.380952,637.1962395,65595.484,63.07258077,16441.96296,69991.189,365068,0,423866,70644.33333,153075.9905,382419,0,443933,22196.65,81292.16564,365068,0,0,0,0,0,140,444,15.76814519,47.30443558,0,1460,1004.137931,685.5525261,469982.266,0,1,0,0,0,0,0,0,3,1040,822.8571429,1112.380952,0,0,0,0,0,0,7,5760,21,23360,-1,2053,4,0,0,0,0,0,0,0,0,0,VConf_Teams
192.168.0.178-20.190.145.142-53522-443-6,192.168.0.178,53522,20.190.145.142,443,6,21-01-2022 18:54,1205,1,1,0,0,0,0,0,0,0,0,0,0,0,1659.751037,1205,0,1205,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,829.8755187,829.8755187,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,515,0,0,0,0,0,0,0,0,0,0,VConf_Teams
192.168.0.178-20.190.145.142-53523-443-6,192.168.0.178,53523,20.190.145.142,443,6,21-01-2022 18:54,443652,6,21,5760,23360,1440,0,960,743.6128025,1460,0,1112.380952,637.1962395,65637.03083,60.85851072,17063.53846,72200.1643,369494,0,39444,7888.8,10858.43201,21283,0,443652,22182.6,82334.6297,369494,0,0,0,0,0,120,444,13.52411349,47.33439723,0,1460,1040,669.8590233,448711.1111,0,1,0,0,0,0,0,0,3,1078.518519,960,1112.380952,0,0,0,0,0,0,6,5760,21,23360,-1,2053,4,0,0,0,0,0,0,0,0,0,VConf_Teams
192.168.0.178-20.190.145.142-53523-443-6,192.168.0.178,53523,20.190.145.142,443,6,21-01-2022 18:54,1211,1,1,0,0,0,0,0,0,0,0,0,0,0,1651.527663,1211,0,1211,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,825.7638315,825.7638315,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,517,0,0,0,0,0,0,0,0,0,0,VConf_Teams
