Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.107-35.222.85.5-49324-80-6,35.222.85.5,80,192.168.0.107,49324,6,09-07-2020 12:30,1332465,2,3,0,0,0,0,0,0,0,0,0,0,0,3.752443779,333116.25,482778.1478,1023595,45,308825,308825,0,308825,308825,1332417,666208.5,942097.4565,1332372,45,0,0,0,0,64,104,1.500977512,2.251466267,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,-1,501,0,0,0,0,0,0,0,0,0,0,VConf_Skype
192.168.0.107-216.58.196.161-50794-443-6,192.168.0.107,50794,216.58.196.161,443,6,09-07-2020 12:31,46003,3,3,0,0,0,0,0,0,0,0,0,0,0,130.4262765,9200.6,8173.109096,17761,42,30190,15095,5556.445087,19024,11166,33574,16787,1436.840979,17803,15771,0,0,0,0,96,112,65.21313827,65.21313827,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,-1,241,0,0,0,0,0,0,0,0,0,0,VConf_Skype
192.168.0.107-216.58.196.161-50794-443-6,192.168.0.107,50794,216.58.196.161,443,6,09-07-2020 12:31,18105,0,2,0,0,0,0,0,0,0,0,0,0,0,110.4667219,18105,0,18105,18105,0,0,0,0,0,18105,18105,0,18105,18105,0,0,0,0,0,52,0,110.4667219,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,241,0,0,0,0,0,0,0,0,0,0,VConf_Skype
192.168.0.107-216.58.196.161-50800-443-6,192.168.0.107,50800,216.58.196.161,443,6,09-07-2020 12:31,22754,2,2,0,0,0,0,0,0,0,0,0,0,0,175.7932671,7584.666667,8455.047033,16721,36,5997,5997,0,5997,5997,16721,16721,0,16721,16721,0,0,0,0,64,80,87.89663356,87.89663356,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,60192,0,0,0,0,0,0,0,0,0,0,VConf_Skype
192.168.0.107-216.58.196.161-50800-443-6,216.58.196.161,443,192.168.0.107,50800,6,09-07-2020 12:31,5257,1,2,0,0,0,0,0,0,0,0,0,0,0,570.6676812,2628.5,3349.564822,4997,260,0,0,0,0,0,260,260,0,260,260,0,0,0,0,32,52,190.2225604,380.4451208,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,VConf_Skype
192.168.0.107-13.107.42.23-35928-443-6,192.168.0.107,35928,13.107.42.23,443,6,09-07-2020 12:32,341223,7,9,0,4380,0,0,0,0,1460,0,486.6666667,730,12836.18045,46.89015688,22748.2,48000.37548,158225,19,324189,54031.5,76126.45241,177486,47,341223,42652.875,60570.45375,158262,122,0,0,0,0,140,212,20.51444363,26.37571324,0,1460,257.6470588,573.710831,329144.1176,0,1,0,0,0,0,0,0,1,273.75,0,486.6666667,0,0,0,0,0,0,7,0,9,4380,-1,2050,0,0,0,0,0,0,0,0,0,0,VConf_Skype
138.91.140.216-192.168.0.107-443-56664-6,192.168.0.107,56664,138.91.140.216,443,6,09-07-2020 12:32,871830,7,5,1428,2896,1428,0,204,539.7332675,1448,0,579.2,793.1022633,4959.682507,13.76415127,79257.27273,108871.239,220216,22,657028,109504.6667,119310.9658,220285,136,868151,217037.75,176432.9051,432633,500,0,0,0,0,224,176,8.02908824,5.735063028,0,1448,332.6153846,632.084058,399530.2564,0,1,0,0,0,0,0,0,0,360.3333333,204,579.2,0,0,0,0,0,0,7,1428,5,2896,-1,1029,1,0,0,0,0,0,0,0,0,0,VConf_Skype
138.91.140.216-192.168.0.107-443-56668-6,192.168.0.107,56668,138.91.140.216,443,6,09-07-2020 12:32,880067,7,5,1428,2896,1428,0,204,539.7332675,1448,0,579.2,793.1022633,4913.262286,13.63532549,80006.09091,109324.1655,220764,33,664906,110817.6667,120771.4987,222359,80,873229,218307.25,178778.6808,437959,75,0,0,0,0,224,176,7.95393987,5.681385622,0,1448,332.6153846,632.084058,399530.2564,0,1,0,0,0,0,0,0,0,360.3333333,204,579.2,0,0,0,0,0,0,7,1428,5,2896,-1,1029,1,0,0,0,0,0,0,0,0,0,VConf_Skype
192.168.0.107-216.58.200.133-48476-443-6,216.58.200.133,443,192.168.0.107,48476,6,09-07-2020 12:30,63500126,5,13,0,1368,0,0,0,0,1368,0,105.2307692,379.4149342,21.54326434,0.283464004,3735301.529,1.42E+07,5.89E+07,38,6.32E+07,1.58E+07,2.88E+07,5.89E+07,5232,6.35E+07,5287673.75,1.69E+07,5.89E+07,38,0,0,0,0,160,416,0.078740001,0.204724003,0,1368,72,313.8407239,98496,0,0,0,0,1,0,0,0,2,76,0,105.2307692,0,0,0,0,0,0,5,0,13,1368,-1,499,0,0,297430,0,297430,297430,5.89E+07,0,5.89E+07,5.89E+07,VConf_Skype
192.168.0.107-74.125.24.189-54560-443-6,192.168.0.107,54560,74.125.24.189,443,6,09-07-2020 12:30,118631880,53,14,0,0,0,0,0,0,0,0,0,0,0,0.564772302,1797452.727,5304362.904,2.94E+07,13,1.19E+08,2281374.288,5894916.333,2.94E+07,13,6.48E+07,4985065.385,9683454.339,3.41E+07,18,0,0,0,0,1696,448,0.446760179,0.118012123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,14,0,-1,653,0,0,9250567.667,1.32E+07,2.45E+07,1091985,2.05E+07,9452117.533,2.94E+07,7637690,VConf_Skype
