Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.250.82.2-192.168.0.163-19305-50868-6,192.168.0.163,50868,142.250.82.2,19305,6,18-04-2021 13:56,5071642,1,3,0,0,0,0,0,0,0,0,0,0,0,0.788699202,1690547.333,2909098.05,5049661,128,0,0,0,0,0,5071642,2535821,3555287.641,5049789,21853,0,0,0,0,20,84,0.197174801,0.591524402,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,-1,256,0,0,0,0,0,0,0,0,0,0,VConf_GMeet
142.250.82.2-192.168.0.163-19305-50868-6,192.168.0.163,50868,142.250.82.2,19305,6,18-04-2021 13:56,339,1,1,0,0,0,0,0,0,0,0,0,0,0,5899.705015,339,0,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2949.852507,2949.852507,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,513,0,0,0,0,0,0,0,0,0,0,VConf_GMeet
142.250.82.2-192.168.0.163-443-50869-6,192.168.0.163,50869,142.250.82.2,443,6,18-04-2021 13:56,9994499,5,4,182,79,110,0,36.4,51.62170086,79,0,19.75,39.5,26.11436551,0.900495362,1249312.375,3494454.049,9897537,129,9976712,2494178,4935702.179,9897537,533,47689,15896.33333,14911.75122,29849,182,0,0,0,0,100,104,0.500275201,0.400220161,0,110,26.1,43.09279393,1856.988889,0,1,0,0,0,0,0,0,0,29,36.4,19.75,0,0,0,0,0,0,5,182,4,79,-1,256,2,0,96429,0,96429,96429,9897537,0,9897537,9897537,VConf_GMeet
142.250.82.2-192.168.0.163-443-50869-6,192.168.0.163,50869,142.250.82.2,443,6,18-04-2021 13:56,313182,1,1,110,110,110,110,110,0,110,110,110,0,702.4669362,6.386063056,313182,0,313182,313182,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,3.193031528,3.193031528,110,110,110,0,0,1,0,0,1,1,0,0,0,1,165,110,110,0,0,0,0,0,0,1,110,1,110,-1,513,1,0,0,0,0,0,0,0,0,0,VConf_GMeet
192.168.0.163-52.184.213.21-50857-443-6,192.168.0.163,50857,52.184.213.21,443,6,18-04-2021 13:57,345814,1,1,0,0,0,0,0,0,0,0,0,0,0,5.783455846,345814,0,345814,345814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.891727923,2.891727923,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,VConf_GMeet
192.168.0.163-52.184.217.37-50859-443-6,192.168.0.163,50859,52.184.217.37,443,6,18-04-2021 13:57,377902,1,1,0,0,0,0,0,0,0,0,0,0,0,5.292377389,377902,0,377902,377902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.646188694,2.646188694,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,VConf_GMeet
192.168.0.163-52.184.216.226-50858-443-6,192.168.0.163,50858,52.184.216.226,443,6,18-04-2021 13:57,643781,1,1,0,0,0,0,0,0,0,0,0,0,0,3.106646515,643781,0,643781,643781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.553323257,1.553323257,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,VConf_GMeet
192.168.0.163-52.184.217.37-50859-443-6,192.168.0.163,50859,52.184.217.37,443,6,18-04-2021 13:57,862499,0,2,0,0,0,0,0,0,0,0,0,0,0,2.318843268,862499,0,862499,862499,0,0,0,0,0,862499,862499,0,862499,862499,0,0,0,0,0,40,0,2.318843268,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2047,0,0,0,0,0,0,0,0,0,0,VConf_GMeet
192.168.0.163-52.184.216.226-50858-443-6,192.168.0.163,50858,52.184.216.226,443,6,18-04-2021 13:57,21105,0,2,0,0,0,0,0,0,0,0,0,0,0,94.76427387,21105,0,21105,21105,0,0,0,0,0,21105,21105,0,21105,21105,0,0,0,0,0,40,0,94.76427387,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2048,0,0,0,0,0,0,0,0,0,0,VConf_GMeet
192.168.0.163-52.184.213.21-50857-443-6,192.168.0.163,50857,52.184.213.21,443,6,18-04-2021 13:57,978422,0,2,0,0,0,0,0,0,0,0,0,0,0,2.044107757,978422,0,978422,978422,0,0,0,0,0,978422,978422,0,978422,978422,0,0,0,0,0,40,0,2.044107757,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2047,0,0,0,0,0,0,0,0,0,0,VConf_GMeet
