Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
144.195.60.253-192.168.0.178-443-57210-6,192.168.0.178,57210,144.195.60.253,443,6,12-11-2022 18:46,1913198,4,3,0,0,0,0,0,0,0,0,0,0,0,3.658795378,318866.3333,466370.6256,1192942,204,1462477,487492.3333,625558.5603,1192942,309,718083,359041.5,129365.8927,450517,267566,0,0,0,0,80,84,2.090740216,1.568055162,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,-1,11,0,0,0,0,0,0,0,0,0,0,VConf_Zoom
144.195.61.253-192.168.0.178-443-57211-6,192.168.0.178,57211,144.195.61.253,443,6,12-11-2022 18:46,1913920,3,3,0,0,0,0,0,0,0,0,0,0,0,3.13492727,382784,490081.2796,1189950,111,1463660,731830,647879.5172,1189950,273710,723859,361929.5,124549.0813,449999,273860,0,0,0,0,60,84,1.567463635,1.567463635,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,-1,11,0,0,0,0,0,0,0,0,0,0,VConf_Zoom
192.168.0.178-206.247.90.253-57212-443-6,192.168.0.178,57212,206.247.90.253,443,6,12-11-2022 18:46,1876714,4,3,0,0,0,0,0,0,0,0,0,0,0,3.729923686,312785.6667,473445.7233,1215252,214,1464579,488193,641587.5059,1215252,1483,659765,329882.5,115889.8517,411829,247936,0,0,0,0,80,84,2.131384963,1.598538722,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,-1,11,0,0,0,0,0,0,0,0,0,0,VConf_Zoom
192.168.0.178-206.247.91.253-57213-443-6,192.168.0.178,57213,206.247.91.253,443,6,12-11-2022 18:46,1864099,3,3,0,0,0,0,0,0,0,0,0,0,0,3.218713169,372819.8,507274.6978,1228768,285,1465830,732915,701242.0375,1228768,237062,634957,317478.5,113851.9699,397984,236973,0,0,0,0,60,84,1.609356585,1.609356585,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,-1,11,0,0,0,0,0,0,0,0,0,0,VConf_Zoom
192.168.0.178-23.65.124.54-57205-443-6,192.168.0.178,57205,23.65.124.54,443,6,12-11-2022 18:47,3802,1,2,0,0,0,0,0,0,0,0,0,0,0,789.0583903,1901,876.8124087,2521,1281,0,0,0,0,0,3802,3802,0,3802,3802,0,0,0,0,20,40,263.0194634,526.0389269,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,VConf_Zoom
192.168.0.178-117.18.237.29-57204-80-6,117.18.237.29,80,192.168.0.178,57204,6,12-11-2022 18:46,38590822,0,3,0,0,0,0,0,0,0,0,0,0,0,0.077738691,1.93E+07,2.73E+07,3.86E+07,42,0,0,0,0,0,3.86E+07,1.93E+07,2.73E+07,3.86E+07,42,0,0,0,0,0,60,0,0.077738691,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,513,0,0,0,0,0,0,0,0,0,0,VConf_Zoom
192.168.0.178-13.88.181.35-57125-443-6,192.168.0.178,57125,13.88.181.35,443,6,12-11-2022 18:48,217166,0,2,0,0,0,0,0,0,0,0,0,0,0,9.209544772,217166,0,217166,217166,0,0,0,0,0,217166,217166,0,217166,217166,0,0,0,0,0,40,0,9.209544772,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,7,0,0,0,0,0,0,0,0,0,0,VConf_Zoom
192.168.0.178-20.50.80.210-57206-443-6,192.168.0.178,57206,20.50.80.210,443,6,12-11-2022 18:48,160068,0,2,0,0,0,0,0,0,0,0,0,0,0,12.49468976,160068,0,160068,160068,0,0,0,0,0,160068,160068,0,160068,160068,0,0,0,0,0,40,0,12.49468976,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2047,0,0,0,0,0,0,0,0,0,0,VConf_Zoom
192.168.0.178-52.149.21.60-57155-443-6,192.168.0.178,57155,52.149.21.60,443,6,12-11-2022 18:46,83696667,1,4,1,1,1,1,1,0,1,0,0.25,0.5,0.023895814,0.059739535,2.09E+07,2.40E+07,4.50E+07,209948,0,0,0,0,0,8.37E+07,2.79E+07,2.41E+07,4.52E+07,352945,0,0,0,0,20,104,0.011947907,0.047791628,0,1,0.5,0.547722558,0.3,0,0,0,0,1,0,0,0,4,0.6,1,0.25,0,0,0,0,0,0,1,1,4,1,-1,2053,1,0,352945,0,352945,352945,4.16E+07,4873518.529,4.50E+07,3.81E+07,VConf_Zoom
192.168.0.178-206.247.93.203-57214-443-6,192.168.0.178,57214,206.247.93.203,443,6,12-11-2022 18:46,119006743,113,312,6179,1676,1460,0,54.68141593,271.4071225,1460,0,5.371794872,82.91608263,66.00466328,3.571226212,280676.2807,482624.9603,3481369,0,1.17E+08,1044511.848,1233140.994,3756581,0,1.19E+08,382658.3376,551495.006,3481369,0,0,0,0,0,2304,6372,0.949526028,2.621700184,0,1460,18.43896714,157.8555923,24918.38803,0,1,0,0,0,0,0,0,2,18.48235294,54.68141593,5.371794872,0,0,0,0,0,0,113,6179,312,1676,-1,16,6,0,0,0,0,0,0,0,0,0,VConf_Zoom
170.114.52.5-192.168.0.178-443-57207-6,192.168.0.178,57207,170.114.52.5,443,6,12-11-2022 18:46,107881244,11,14,1460,0,1460,0,132.7272727,440.2065631,0,0,0,0,13.53339974,0.231736297,4495051.833,7075722.919,1.54E+07,0,1.08E+08,1.08E+07,7247460.73,1.54E+07,5130,1.08E+08,8298553.308,7938860.763,1.55E+07,0,0,0,0,0,244,304,0.101963971,0.129772326,0,1460,56.15384615,286.3295573,81984.61538,0,1,0,0,0,0,0,0,1,58.4,132.7272727,0,0,0,0,0,0,0,11,1460,14,0,-1,8,1,0,123942,327776.8387,867270,43,1.53E+07,127593.5982,1.54E+07,1.50E+07,VConf_Zoom
170.114.52.5-192.168.0.178-443-57203-6,170.114.52.5,443,192.168.0.178,57203,6,12-11-2022 18:46,107476580,7,9,0,0,0,0,0,0,0,0,0,0,0,0.148869642,7165105.333,7928591.369,1.54E+07,33,9.21E+07,1.54E+07,15558.61856,1.54E+07,1.53E+07,1.07E+08,1.34E+07,5428370.515,1.54E+07,81,0,0,0,0,140,180,0.065130468,0.083739174,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,9,0,-1,513,0,0,74,19.84943324,93,33,1.54E+07,14310.70537,1.54E+07,1.53E+07,VConf_Zoom
170.114.52.5-192.168.0.178-443-57179-6,170.114.52.5,443,192.168.0.178,57179,6,12-11-2022 18:46,107521007,7,9,0,0,0,0,0,0,0,0,0,0,0,0.14880813,7168067.133,7931882.869,1.54E+07,33,9.21E+07,1.54E+07,5153.509125,1.54E+07,1.53E+07,1.08E+08,1.34E+07,5430623.968,1.54E+07,33,0,0,0,0,140,180,0.065103557,0.083704573,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,9,0,-1,513,0,0,52.28571429,12.76341498,68,33,1.54E+07,8977.480562,1.54E+07,1.53E+07,VConf_Zoom
192.168.0.178-206.247.93.203-59230-8801-17,206.247.93.203,8801,192.168.0.178,59230,17,12-11-2022 18:46,119870889,250,1,18754,44,91,14,75.016,8.30249781,44,44,44,0,156.8187252,2.093919567,479483.556,778663.3166,3883851,0,1.20E+08,481406.5984,779636.54,3883851,0,0,0,0,0,0,0,0,0,0,2000,8,2.085577258,0.008342309,14,91,74.76984127,8.717032554,75.98665655,0,0,0,0,0,0,0,0,0,75.06772908,75.016,44,0,0,0,0,0,0,250,18754,1,44,-1,-1,250,0,0,0,0,0,0,0,0,0,VConf_Zoom
