Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.250.205.225-192.168.0.164-443-43594-6,192.168.0.164,43594,142.250.205.225,443,6,14-03-2022 12:46,249741,10,9,792,8130,517,0,79.2,164.7232022,4601,0,903.3333333,1516.983932,35725.01111,76.07881766,13874.5,41296.09161,169079,3,249170,27685.55556,56553.44349,169079,8,249228,31153.5,59476.96886,169284,64,0,0,0,0,200,212,40.04148298,36.03733468,0,4601,446.1,1078.030558,1162149.884,0,1,0,0,0,0,0,0,0,469.5789474,79.2,903.3333333,0,0,0,0,0,0,10,792,9,8130,-1,245,4,0,0,0,0,0,0,0,0,0,VShare_YouTube
142.250.205.225-192.168.0.164-443-43594-6,142.250.205.225,443,192.168.0.164,43594,6,14-03-2022 12:46,132,2,1,0,0,0,0,0,0,0,0,0,0,0,22727.27273,66,62.22539674,110,22,110,110,0,110,110,0,0,0,0,0,0,0,0,0,40,32,15151.51515,7575.757576,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,245,0,0,0,0,0,0,0,0,0,0,VShare_YouTube
142.250.205.225-192.168.0.164-443-43590-6,192.168.0.164,43590,142.250.205.225,443,6,14-03-2022 12:46,268211,10,9,792,8131,517,0,79.2,164.7232022,4602,0,903.4444444,1517.288627,33268.58332,70.8397493,14900.61111,44965.95827,184799,4,267554,29728.22222,61687.935,184799,7,266468,33308.5,64983.25382,184984,63,0,0,0,0,200,212,37.28407858,33.55567072,0,4602,446.15,1078.233413,1162587.292,0,1,0,0,0,0,0,0,0,469.6315789,79.2,903.4444444,0,0,0,0,0,0,10,792,9,8131,-1,245,4,0,0,0,0,0,0,0,0,0,VShare_YouTube
142.250.205.225-192.168.0.164-443-43588-6,192.168.0.164,43588,142.250.205.225,443,6,14-03-2022 12:46,279961,10,9,792,8131,517,0,79.2,164.7232022,6062,0,903.4444444,1994.287536,31872.2965,67.8665957,15553.38889,39490.9843,152748,5,279342,31038,52775.3862,152917,7,279745,34968.125,54924.93475,152748,137,0,0,0,0,200,212,35.7192609,32.14733481,0,6062,446.15,1366.696027,1867858.029,0,1,0,0,0,0,0,0,0,469.6315789,79.2,903.4444444,0,0,0,0,0,0,10,792,9,8131,-1,245,4,0,0,0,0,0,0,0,0,0,VShare_YouTube
142.250.205.225-192.168.0.164-443-43588-6,142.250.205.225,443,192.168.0.164,43588,6,14-03-2022 12:46,82,1,1,0,0,0,0,0,0,0,0,0,0,0,24390.2439,82,0,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12195.12195,12195.12195,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,245,0,0,0,0,0,0,0,0,0,0,VShare_YouTube
142.250.205.225-192.168.0.164-443-43592-6,192.168.0.164,43592,142.250.205.225,443,6,14-03-2022 12:46,301932,11,10,792,8131,517,0,72,158.0841548,3172,0,813.1,1253.089201,29553.01194,69.55208458,15096.6,50215.30634,219385,5,301433,30143.3,69451.98627,219385,7,301690,33521.11111,72836.11345,219579,63,0,0,0,0,220,232,36.4320443,33.12004027,0,3172,405.5909091,911.0760597,830059.5866,0,1,0,0,0,0,0,0,0,424.9047619,72,813.1,0,0,0,0,0,0,11,792,10,8131,-1,245,4,0,0,0,0,0,0,0,0,0,VShare_YouTube
142.250.205.225-192.168.0.164-443-43592-6,142.250.205.225,443,192.168.0.164,43592,6,14-03-2022 12:46,62,2,1,0,0,0,0,0,0,0,0,0,0,0,48387.09677,31,35.35533906,56,6,56,56,0,56,56,0,0,0,0,0,0,0,0,0,40,32,32258.06452,16129.03226,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,245,0,0,0,0,0,0,0,0,0,0,VShare_YouTube
142.250.77.35-192.168.0.164-443-56048-6,192.168.0.164,56048,142.250.77.35,443,6,14-03-2022 12:46,393650,15,16,1307,5836,517,0,87.13333333,162.5488352,1491,0,364.75,578.9265354,18145.56078,78.75015877,13121.66667,21327.10669,59565,1,349057,24932.64286,39932.69559,109529,3,333940,22262.66667,26359.4079,66223,2,0,0,0,0,480,528,38.10491553,40.64524324,0,1491,223.21875,441.6012458,195011.6603,0,1,0,0,0,0,0,0,1,230.4193548,87.13333333,364.75,0,0,0,0,0,0,15,1307,16,5836,-1,269,8,0,0,0,0,0,0,0,0,0,VShare_YouTube
142.250.77.35-192.168.0.164-443-56048-6,142.250.77.35,443,192.168.0.164,56048,6,14-03-2022 12:46,912,2,1,0,0,0,0,0,0,0,0,0,0,0,3289.473684,456,636.3961031,906,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,64,32,2192.982456,1096.491228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,269,0,0,0,0,0,0,0,0,0,0,VShare_YouTube
142.250.182.234-192.168.0.164-443-43516-6,192.168.0.164,43516,142.250.182.234,443,6,14-03-2022 12:46,248557,11,14,1319,6245,517,0,119.9090909,192.3171623,2836,0,446.0714286,846.1024183,30431.65149,100.5805509,10356.54167,17922.53597,59307,6,209144,20914.4,34422.6353,97928,10,248519,19116.84615,22062.53356,59307,18,0,0,0,0,352,464,44.25544241,56.32510853,0,2836,290.9230769,645.59287,416790.1538,0,1,0,0,0,0,0,0,1,302.56,119.9090909,446.0714286,0,0,0,0,0,0,11,1319,14,6245,-1,269,7,0,0,0,0,0,0,0,0,0,VShare_YouTube
