Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.178-54.83.153.96-51342-443-6,54.83.153.96,443,192.168.0.178,51342,6,03-03-2022 23:18,0,1,1,0,31,0,0,0,0,31,31,31,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0,0,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,1,31,0,31,0,0,0,0,0,0,1,0,1,31,-1,114,0,0,0,0,0,0,0,0,0,0,VShare_Amazon
192.168.0.178-54.163.83.97-51344-443-6,54.163.83.97,443,192.168.0.178,51344,6,03-03-2022 23:18,0,1,1,0,31,0,0,0,0,31,31,31,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0,0,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,1,31,0,31,0,0,0,0,0,0,1,0,1,31,-1,118,0,0,0,0,0,0,0,0,0,0,VShare_Amazon
192.168.0.178-44.235.233.76-61599-443-6,192.168.0.178,61599,44.235.233.76,443,6,03-03-2022 23:18,60533432,6,12,644,4684,517,0,107.3333333,206.9025536,1460,0,390.3333333,645.8515638,88.01747768,0.297356344,3560790.118,1.12E+07,4.50E+07,0,4.55E+07,9107784,2.01E+07,4.50E+07,402,6.05E+07,5503039.273,1.39E+07,4.53E+07,0,0,0,0,0,120,276,0.099118781,0.198237562,0,1460,280.4210526,537.782,289209.4795,0,1,0,0,0,0,0,0,2,296,107.3333333,390.3333333,0,0,0,0,0,0,6,644,12,4684,-1,110,3,0,534462,378732.0489,802266,266658,2.97E+07,2.16E+07,4.50E+07,1.45E+07,VShare_Amazon
192.168.0.178-54.246.198.161-61608-443-6,192.168.0.178,61608,54.246.198.161,443,6,03-03-2022 23:18,19975064,6,12,1548,5198,905,0,258,374.9149237,1460,0,433.1666667,633.7772527,337.7210706,0.901123521,1175003.765,4671235.107,1.93E+07,0,454376,90875.2,123950.3146,227445,128,2.00E+07,1815914.909,5799418.532,1.93E+07,0,0,0,0,0,120,264,0.300374507,0.600749014,0,1460,355.0526316,546.5556263,298723.0526,0,1,0,0,0,0,0,0,2,374.7777778,258,433.1666667,0,0,0,0,0,0,6,1548,12,5198,-1,233,3,0,676068,0,676068,676068,1.93E+07,0,1.93E+07,1.93E+07,VShare_Amazon
192.168.0.178-44.235.233.76-61599-443-6,192.168.0.178,61599,44.235.233.76,443,6,03-03-2022 23:19,1229366,1,1,0,0,0,0,0,0,0,0,0,0,0,1.626854818,1229366,0,1229366,1229366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.813427409,0.813427409,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,VShare_Amazon
192.168.0.178-54.246.198.161-61608-443-6,192.168.0.178,61608,54.246.198.161,443,6,03-03-2022 23:19,588484,1,1,0,0,0,0,0,0,0,0,0,0,0,3.398563088,588484,0,588484,588484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.699281544,1.699281544,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,511,0,0,0,0,0,0,0,0,0,0,VShare_Amazon
192.168.0.178-54.246.198.161-61610-443-6,192.168.0.178,61610,54.246.198.161,443,6,03-03-2022 23:18,20089074,7,12,2411,5440,1460,0,344.4285714,529.0261043,1460,0,453.3333333,636.0555055,390.8094519,0.945787745,1116059.667,4553978.741,1.94E+07,0,498042,83007,128423.0503,261748,0,2.01E+07,1826279.455,5816303.22,1.94E+07,0,0,0,0,0,140,264,0.348448117,0.597339628,0,1460,392.55,577.8401231,333899.2079,0,1,0,0,0,0,0,0,1,413.2105263,344.4285714,453.3333333,0,0,0,0,0,0,7,2411,12,5440,-1,247,4,0,728830,0,728830,728830,1.94E+07,0,1.94E+07,1.94E+07,VShare_Amazon
192.168.0.178-54.246.198.161-61610-443-6,192.168.0.178,61610,54.246.198.161,443,6,03-03-2022 23:19,954148,1,1,0,0,0,0,0,0,0,0,0,0,0,2.096110876,954148,0,954148,954148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.048055438,1.048055438,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,510,0,0,0,0,0,0,0,0,0,0,VShare_Amazon
192.168.0.178-54.246.198.161-61609-443-6,192.168.0.178,61609,54.246.198.161,443,6,03-03-2022 23:18,24081024,7,12,2411,5440,1460,0,344.4285714,529.0261043,1460,0,453.3333333,636.0555055,326.0243418,0.789002993,1337834.667,5499082.23,2.34E+07,0,491387,81897.83333,126865.3111,261501,0,2.41E+07,2189184,7025538.075,2.34E+07,0,0,0,0,0,140,264,0.290685313,0.49831768,0,1460,392.55,577.8401231,333899.2079,0,1,0,0,0,0,0,0,1,413.2105263,344.4285714,453.3333333,0,0,0,0,0,0,7,2411,12,5440,-1,247,4,0,711249,0,711249,711249,2.34E+07,0,2.34E+07,2.34E+07,VShare_Amazon
192.168.0.178-54.246.198.161-61609-443-6,192.168.0.178,61609,54.246.198.161,443,6,03-03-2022 23:19,128645,1,1,0,0,0,0,0,0,0,0,0,0,0,15.54665941,128645,0,128645,128645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.773329706,7.773329706,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,510,0,0,0,0,0,0,0,0,0,0,VShare_Amazon
