Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
119996043,18817,5784,18500000.0,87579.0,1032,4,982.3190732,186.0068895,800,4,15.14159751,16.70848939,154770.7452,205.0150937,4877.887927,19355.28794,1022372.0,13.0,120000000.0,6376.669962,23707.60574,1033090.0,14.0,120000000.0,20749.36676,39496.78257,1022372.0,20.0,0,150536,46272,156.8135043,48.20158945,4,1032,754.8939517,441.3309348,194772.994,0,0,0,0,0,0,754.9246372,982.3190732,15.14159751,18817,18484298,5784,87579,-1,18817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_AlarmClock
90311759,6,8,288.0,96.0,48,48,48.0,0.0,20,4,12.0,4.276179871,4.251938001,0.155018573,6947058.385,12600000.0,29900000.0,804.0,90200000.0,18000000.0,15100000.0,30100000.0,1000794.0,90300000.0,12900000.0,15200000.0,30100000.0,914.0,0,48,64,0.066436531,0.088582042,4,48,25.86666667,19.05580776,363.1238095,0,0,0,0,0,1,27.71428571,48.0,12.0,6,288,8,96,-1,6,1145206.667,1734211.133,3147701.0,143192.0,28900000.0,1742921.921,29900000.0,26900000.0,IPCam_AlarmClock
90311625,6,7,288.0,84.0,48,48,48.0,0.0,20,4,12.0,4.618802154,4.11907105,0.143946031,7525968.75,12900000.0,29900000.0,314.0,90200000.0,18000000.0,15100000.0,30100000.0,1001196.0,90300000.0,15100000.0,15400000.0,30100000.0,129203.0,0,48,56,0.06643663,0.077509401,4,48,26.85714286,19.37030695,375.2087912,0,0,0,0,0,1,28.92307692,48.0,12.0,6,288,7,84,-1,6,1131071.667,1733487.6,3132730.0,128760.0,28900000.0,1742481.64,29900000.0,26900000.0,IPCam_AlarmClock
90370137,6,7,288.0,84.0,48,48,48.0,0.0,20,4,12.0,4.618802154,4.116404073,0.14385283,7530844.75,12900000.0,29900000.0,302.0,90200000.0,18000000.0,15100000.0,30100000.0,1001192.0,90400000.0,15100000.0,15400000.0,30100000.0,205711.0,0,48,56,0.066393614,0.077459216,4,48,26.85714286,19.37030695,375.2087912,0,0,0,0,0,1,28.92307692,48.0,12.0,6,288,7,84,-1,6,1207795.0,1736050.989,3212414.0,205301.0,28800000.0,1745117.108,29900000.0,26800000.0,IPCam_AlarmClock
498751,3,3,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12.03005107,99750.2,220570.19,494316.0,108.0,495395.0,247697.5,350144.4288,495287.0,108.0,4327.0,2163.5,1359.76634,3125.0,1202.0,0,60,92,6.015025534,6.015025534,0,0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,0.0,0.0,3,0,3,0,237,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_AlarmClock
274256,3,3,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21.87737005,54851.2,78436.06691,175688.0,829.0,270196.0,135098.0,58575.31154,176517.0,93679.0,4889.0,2444.5,1672.307538,3627.0,1262.0,0,60,92,10.93868502,10.93868502,0,0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,0.0,0.0,3,0,3,0,237,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_AlarmClock
119999822,20732,6230,20500000.0,91024.0,1032,4,987.204563,174.6505897,89,4,14.6105939,5.453922647,171314.8291,224.6836666,4450.866882,13105.21699,158969.0,12.0,120000000.0,5786.582606,16916.08979,164737.0,12.0,120000000.0,19257.57521,30731.79802,1036037.0,20.0,0,165856,49840,172.7669229,51.91674368,4,1032,762.4434596,437.6647124,191550.4005,0,0,0,0,0,0,762.471738,987.204563,14.6105939,20732,20466725,6230,91024,-1,20732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_AlarmClock
90290587,3,5,144.0,96.0,48,48,48.0,0.0,48,12,19.2,16.09968944,2.658084391,0.088602813,12900000.0,15900000.0,29900000.0,145410.0,60100000.0,30000000.0,14083.44576,30100000.0,30000000.0,90300000.0,22600000.0,15000000.0,30100000.0,146733.0,0,24,40,0.033226055,0.055376758,12,48,32.0,18.97366596,360.0,0,0,0,0,0,1,36.0,48.0,19.2,3,144,5,96,-1,3,153998.3333,13745.60447,169852.0,145410.0,29900000.0,24755.36064,29900000.0,29900000.0,IPCam_AlarmClock
90272321,3,5,144.0,96.0,48,48,48.0,0.0,48,12,19.2,16.09968944,2.658622237,0.088620741,12900000.0,15900000.0,29900000.0,128718.0,60100000.0,30000000.0,14009.19955,30100000.0,30000000.0,90300000.0,22600000.0,15000000.0,30100000.0,129181.0,0,24,40,0.033232778,0.055387963,12,48,32.0,18.97366596,360.0,0,0,0,0,0,1,36.0,48.0,19.2,3,144,5,96,-1,3,129523.6667,309.2480127,129782.0,129181.0,29900000.0,11240.92527,29900000.0,29900000.0,IPCam_AlarmClock
90348608,3,5,144.0,96.0,48,48,48.0,0.0,48,12,19.2,16.09968944,2.656377395,0.088545913,12900000.0,15800000.0,29800000.0,205024.0,60100000.0,30000000.0,14099.00211,30100000.0,30000000.0,90300000.0,22600000.0,14900000.0,30100000.0,205443.0,0,24,40,0.033204717,0.055341196,12,48,32.0,18.97366596,360.0,0,0,0,0,0,1,36.0,48.0,19.2,3,144,5,96,-1,3,205862.6667,521.1452133,206446.0,205443.0,29800000.0,11516.12475,29800000.0,29800000.0,IPCam_AlarmClock
202596,3,3,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,29.61558965,40519.2,88047.56005,198018.0,88.0,199354.0,99677.0,140840.1145,199266.0,88.0,4490.0,2245.0,1637.659305,3403.0,1087.0,0,60,92,14.80779482,14.80779482,0,0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,0.0,0.0,3,0,3,0,237,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_AlarmClock
119986783,20610,5792,20300000.0,87604.0,1032,4,987.0945172,174.7409006,1032,4,15.125,14.51432997,170282.2718,220.0409023,4544.781751,13686.64342,127777.0,12.0,120000000.0,5821.772041,17356.72856,131846.0,12.0,120000000.0,20719.52737,33306.67126,1127496.0,13.0,0,164880,46336,171.7689189,48.27198342,4,1032,773.8762262,430.8925377,185668.379,0,0,0,0,0,0,773.9055375,987.0945172,15.125,20610,20344018,5792,87604,-1,20610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_AlarmClock
90359840,3,5,144.0,96.0,48,48,48.0,0.0,48,12,19.2,16.09968944,2.6560472,0.088534907,12900000.0,15900000.0,29900000.0,142854.0,60100000.0,30100000.0,3978.182751,30100000.0,30100000.0,90400000.0,22600000.0,15000000.0,30100000.0,143944.0,0,24,40,0.03320059,0.055334317,12,48,32.0,18.97366596,360.0,0,0,0,0,0,1,36.0,48.0,19.2,3,144,5,96,-1,3,146588.3333,5550.906803,152967.0,142854.0,29900000.0,6915.68524,29900000.0,29900000.0,IPCam_AlarmClock
90341748,3,5,144.0,96.0,48,48,48.0,0.0,48,12,19.2,16.09968944,2.656579104,0.088552637,12900000.0,15900000.0,29900000.0,128795.0,60100000.0,30100000.0,4101.926438,30100000.0,30100000.0,90300000.0,22600000.0,15000000.0,30100000.0,128795.0,0,24,40,0.033207239,0.055345398,12,48,32.0,18.97366596,360.0,0,0,0,0,0,1,36.0,48.0,19.2,3,144,5,96,-1,3,129315.3333,521.0012796,129837.0,128795.0,29900000.0,5345.642057,29900000.0,29900000.0,IPCam_AlarmClock
90418911,3,5,144.0,96.0,48,48,48.0,0.0,48,12,19.2,16.09968944,2.654311995,0.088477066,12900000.0,15800000.0,29900000.0,208842.0,60100000.0,30100000.0,4199.507173,30100000.0,30100000.0,90400000.0,22600000.0,14900000.0,30100000.0,208842.0,0,24,40,0.0331789,0.055298167,12,48,32.0,18.97366596,360.0,0,0,0,0,0,1,36.0,48.0,19.2,3,144,5,96,-1,3,212196.6667,3957.310998,216561.0,208842.0,29900000.0,7038.663723,29900000.0,29900000.0,IPCam_AlarmClock
213701,3,3,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28.07661171,42740.2,93911.49613,210733.0,149.0,211711.0,105855.5,149491.5659,211562.0,149.0,2819.0,1409.5,471.6402231,1743.0,1076.0,0,60,92,14.03830586,14.03830586,0,0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,0.0,0.0,3,0,3,0,237,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_AlarmClock
119985893,19296,5642,19000000.0,84660.0,1032,9,986.3340589,175.3290257,1032,10,15.00531726,14.59896959,159326.7469,207.8411001,4811.560853,14451.11292,128122.0,13.0,120000000.0,6218.034931,18402.03428,140359.0,14.0,120000000.0,21270.32317,29560.02814,149423.0,14.0,0,154368,45136,160.8189056,47.02219452,9,1032,766.5902402,434.7380356,188997.1596,0,0,0,0,0,0,766.62098,986.3340589,15.00531726,19296,19032302,5642,84660,-1,19296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_AlarmClock
90292684,3,5,144.0,96.0,48,48,48.0,0.0,48,12,19.2,16.09968944,2.658022659,0.088600755,12900000.0,15900000.0,29900000.0,143412.0,60100000.0,30100000.0,4990.759662,30100000.0,30000000.0,90300000.0,22600000.0,15000000.0,30100000.0,143989.0,0,24,40,0.033225283,0.055375472,12,48,32.0,18.97366596,360.0,0,0,0,0,0,1,36.0,48.0,19.2,3,144,5,96,-1,3,147263.6667,6178.325205,154390.0,143412.0,29900000.0,9090.967184,29900000.0,29900000.0,IPCam_AlarmClock
90277771,3,5,144.0,96.0,48,48,48.0,0.0,48,12,19.2,16.09968944,2.658461738,0.088615391,12900000.0,15900000.0,29900000.0,128485.0,60100000.0,30100000.0,5033.186068,30100000.0,30000000.0,90300000.0,22600000.0,15000000.0,30100000.0,128806.0,0,24,40,0.033230772,0.05538462,12,48,32.0,18.97366596,360.0,0,0,0,0,0,1,36.0,48.0,19.2,3,144,5,96,-1,3,128772.6667,272.5331784,129027.0,128485.0,29900000.0,5481.422078,29900000.0,29900000.0,IPCam_AlarmClock
90358459,3,5,144.0,96.0,48,48,48.0,0.0,48,12,19.2,16.09968944,2.656087794,0.08853626,12900000.0,15800000.0,29800000.0,205394.0,60100000.0,30100000.0,5036.014496,30100000.0,30000000.0,90400000.0,22600000.0,14900000.0,30100000.0,209300.0,0,24,40,0.033201097,0.055335162,12,48,32.0,18.97366596,360.0,0,0,0,0,0,1,36.0,48.0,19.2,3,144,5,96,-1,3,206832.3333,2146.824244,209300.0,205394.0,29800000.0,7209.427231,29800000.0,29800000.0,IPCam_AlarmClock
119996247,16281,5553,16000000.0,84676.0,1032,4,981.6365088,185.1992165,1032,4,15.2486944,27.38911215,133893.3542,181.9556907,5496.095223,30599.5001,1048601.0,13.0,120000000.0,7370.761855,36295.6894,1051104.0,14.0,120000000.0,21613.0553,60103.90003,1060585.0,13.0,0,130248,44424,135.6792434,46.2764473,4,1032,735.8704832,450.4215866,202879.6056,0,0,0,0,0,0,735.9041861,981.6365088,15.2486944,16281,15982024,5553,84676,-1,16281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPCam_AlarmClock
